Entity,Code,Year,9.b.1 - Proportion of medium and high-tech manufacturing value added in total value added (%) - NV_IND_TECH
Iraq,IRQ,2007,9.02
Iraq,IRQ,2008,7.7
Iraq,IRQ,2009,7.25
Iraq,IRQ,2010,6.81
Iraq,IRQ,2011,7.1
Iraq,IRQ,2012,4.01
Iraq,IRQ,2013,8.83
Iraq,IRQ,2014,7.79
Iraq,IRQ,2015,3.47
Iraq,IRQ,2016,5.47
Iraq,IRQ,2017,10.33
Iraq,IRQ,2018,7.05
Iraq,IRQ,2019,9.17
Ireland,IRL,2000,64.72
Ireland,IRL,2001,64.72
Ireland,IRL,2002,65.46
Ireland,IRL,2003,62.16
Ireland,IRL,2004,57.98
Ireland,IRL,2005,59.65
Ireland,IRL,2006,58.31
Ireland,IRL,2007,60.98
Ireland,IRL,2008,58.34
Ireland,IRL,2009,63.07
Ireland,IRL,2010,61.72
Ireland,IRL,2011,60.14
Ireland,IRL,2012,61.09
Ireland,IRL,2013,55.94
Ireland,IRL,2014,55.24
Ireland,IRL,2015,54.36
Ireland,IRL,2016,54.33
Ireland,IRL,2017,54.52
Ireland,IRL,2018,54.51
Ireland,IRL,2019,54.51
Israel,ISR,2000,57.66
Israel,ISR,2001,49.69
Israel,ISR,2002,49.26
Israel,ISR,2003,50.27
Israel,ISR,2004,53.95
Israel,ISR,2005,54.44
Israel,ISR,2006,57.78
Israel,ISR,2007,59.2
Israel,ISR,2008,59.48
Israel,ISR,2009,60.95
Israel,ISR,2010,61.97
Israel,ISR,2011,37.69
Israel,ISR,2012,42.92
Israel,ISR,2013,41.26
Israel,ISR,2014,42.68
Israel,ISR,2015,39.68
Israel,ISR,2016,39.6
Israel,ISR,2017,40.24
Israel,ISR,2018,40
Israel,ISR,2019,40
Italy,ITA,2000,38.14
Italy,ITA,2001,37.57
Italy,ITA,2002,37.31
Italy,ITA,2003,37.27
Italy,ITA,2004,37.09
Italy,ITA,2005,37.99
Italy,ITA,2006,38.77
Italy,ITA,2007,38.39
Italy,ITA,2008,40.14
Italy,ITA,2009,41.07
Italy,ITA,2010,42.7
Italy,ITA,2011,42.46
Italy,ITA,2012,43.14
Italy,ITA,2013,43.79
Italy,ITA,2014,43.69
Italy,ITA,2015,43.77
Italy,ITA,2016,43.95
Italy,ITA,2017,44.79
Italy,ITA,2018,44.36
Italy,ITA,2019,43.19
Jamaica,JAM,2000,18.77
Jamaica,JAM,2001,18.77
Jamaica,JAM,2002,18.77
Jamaica,JAM,2003,18.77
Jamaica,JAM,2004,18.77
Jamaica,JAM,2005,18.77
Jamaica,JAM,2006,18.77
Jamaica,JAM,2007,18.77
Jamaica,JAM,2008,18.77
Jamaica,JAM,2009,18.77
Jamaica,JAM,2010,18.77
Jamaica,JAM,2011,18.77
Jamaica,JAM,2012,18.77
Jamaica,JAM,2013,18.77
Jamaica,JAM,2014,18.77
Jamaica,JAM,2015,18.77
Jamaica,JAM,2016,18.77
Jamaica,JAM,2017,18.77
Jamaica,JAM,2018,18.77
Jamaica,JAM,2019,18.77
Japan,JPN,2000,52.02
Japan,JPN,2001,51.36
Japan,JPN,2002,53.46
Japan,JPN,2003,54.34
Japan,JPN,2004,54.69
Japan,JPN,2005,55.02
Japan,JPN,2006,56.02
Japan,JPN,2007,56.82
Japan,JPN,2008,55.64
Japan,JPN,2009,53.57
Japan,JPN,2010,55.64
Japan,JPN,2011,54.48
Japan,JPN,2012,55.01
Japan,JPN,2013,55.34
Japan,JPN,2014,56.21
Japan,JPN,2015,56.77
Japan,JPN,2016,56.57
Japan,JPN,2017,56.57
Japan,JPN,2018,56.57
Japan,JPN,2019,56.57
Jordan,JOR,2000,22.42
Jordan,JOR,2001,21.92
Jordan,JOR,2002,21.97
Jordan,JOR,2003,21.27
Jordan,JOR,2004,21.43
Jordan,JOR,2005,22.53
Jordan,JOR,2006,21.57
Jordan,JOR,2007,23.38
Jordan,JOR,2008,26.57
Jordan,JOR,2009,27.48
Jordan,JOR,2010,26.1
Jordan,JOR,2011,27.03
Jordan,JOR,2012,26.75
Jordan,JOR,2013,28.15
Jordan,JOR,2014,27.45
Jordan,JOR,2015,26.74
Jordan,JOR,2016,23.86
Jordan,JOR,2017,23.66
Jordan,JOR,2018,23.66
Jordan,JOR,2019,23.67
Kazakhstan,KAZ,2000,5.18
Kazakhstan,KAZ,2001,5.96
Kazakhstan,KAZ,2002,7.11
Kazakhstan,KAZ,2003,7.94
Kazakhstan,KAZ,2004,6.71
Kazakhstan,KAZ,2005,6.94
Kazakhstan,KAZ,2006,6.59
Kazakhstan,KAZ,2007,6.9
Kazakhstan,KAZ,2008,12.55
Kazakhstan,KAZ,2009,11.55
Kazakhstan,KAZ,2010,12.83
Kazakhstan,KAZ,2011,13
Kazakhstan,KAZ,2012,14.05
Kazakhstan,KAZ,2013,16.52
Kazakhstan,KAZ,2014,16.62
Kazakhstan,KAZ,2015,14.23
Kazakhstan,KAZ,2016,14.2
Kazakhstan,KAZ,2017,15.92
Kazakhstan,KAZ,2018,15.85
Kazakhstan,KAZ,2019,14.99
Kenya,KEN,2000,9.5
Kenya,KEN,2001,10.78
Kenya,KEN,2002,10.54
Kenya,KEN,2003,11.27
Kenya,KEN,2004,11.78
Kenya,KEN,2005,9.64
Kenya,KEN,2006,9.36
Kenya,KEN,2007,8.47
Kenya,KEN,2008,7.93
Kenya,KEN,2009,12.62
Kenya,KEN,2010,10.79
Kenya,KEN,2011,10.79
Kenya,KEN,2012,13.05
Kenya,KEN,2013,12.47
Kenya,KEN,2014,13.37
Kenya,KEN,2015,14.86
Kenya,KEN,2016,14.55
Kenya,KEN,2017,11.97
Kenya,KEN,2018,12.39
Kenya,KEN,2019,12.14
Kuwait,KWT,2000,6.97
Kuwait,KWT,2001,8
Kuwait,KWT,2002,19.58
Kuwait,KWT,2003,20.85
Kuwait,KWT,2004,21.23
Kuwait,KWT,2005,21.04
Kuwait,KWT,2006,22.76
Kuwait,KWT,2007,24.73
Kuwait,KWT,2008,27.41
Kuwait,KWT,2009,21.6
Kuwait,KWT,2010,18.44
Kuwait,KWT,2011,23.97
Kuwait,KWT,2012,30.56
Kuwait,KWT,2013,30.23
Kuwait,KWT,2014,28.19
Kuwait,KWT,2015,30.85
Kuwait,KWT,2016,34.85
Kuwait,KWT,2017,41.12
Kuwait,KWT,2018,41.4
Kuwait,KWT,2019,38.83
Kyrgyzstan,KGZ,2000,5.92
Kyrgyzstan,KGZ,2001,5.92
Kyrgyzstan,KGZ,2002,5.7
Kyrgyzstan,KGZ,2003,4.92
Kyrgyzstan,KGZ,2004,7.78
Kyrgyzstan,KGZ,2005,5.96
Kyrgyzstan,KGZ,2006,6.64
Kyrgyzstan,KGZ,2007,8.92
Kyrgyzstan,KGZ,2008,6.14
Kyrgyzstan,KGZ,2009,4.39
Kyrgyzstan,KGZ,2010,3.45
Kyrgyzstan,KGZ,2011,3.71
Kyrgyzstan,KGZ,2012,6.74
Kyrgyzstan,KGZ,2013,6.61
Kyrgyzstan,KGZ,2014,4.13
Kyrgyzstan,KGZ,2015,2.96
Kyrgyzstan,KGZ,2016,2.71
Kyrgyzstan,KGZ,2017,2.78
Kyrgyzstan,KGZ,2018,2.37
Kyrgyzstan,KGZ,2019,2.44
Landlocked developing countries (LLDCs),,2000,9.88
Landlocked developing countries (LLDCs),,2001,9.78
Landlocked developing countries (LLDCs),,2002,11.65
Landlocked developing countries (LLDCs),,2003,11.26
Landlocked developing countries (LLDCs),,2004,10.75
Landlocked developing countries (LLDCs),,2005,9.53
Landlocked developing countries (LLDCs),,2006,9.62
Landlocked developing countries (LLDCs),,2007,10.41
Landlocked developing countries (LLDCs),,2008,12.46
Landlocked developing countries (LLDCs),,2009,12.12
Landlocked developing countries (LLDCs),,2010,12.83
Landlocked developing countries (LLDCs),,2011,13.25
Landlocked developing countries (LLDCs),,2012,13.89
Landlocked developing countries (LLDCs),,2013,15.07
Landlocked developing countries (LLDCs),,2014,15.46
Landlocked developing countries (LLDCs),,2015,14.97
Landlocked developing countries (LLDCs),,2016,14.75
Landlocked developing countries (LLDCs),,2017,15.03
Landlocked developing countries (LLDCs),,2018,15.26
Landlocked developing countries (LLDCs),,2019,14.91
Laos,LAO,2000,10.25
Laos,LAO,2001,10.25
Laos,LAO,2002,10.25
Laos,LAO,2003,10.25
Laos,LAO,2004,10.25
Laos,LAO,2005,10.25
Laos,LAO,2006,10.25
Laos,LAO,2007,10.25
Laos,LAO,2008,3.77
Laos,LAO,2009,3.77
Laos,LAO,2010,3.77
Laos,LAO,2011,3.77
Laos,LAO,2012,3.77
Laos,LAO,2013,3.77
Laos,LAO,2014,3.77
Laos,LAO,2015,3.77
Laos,LAO,2016,3.77
Laos,LAO,2017,3.77
Laos,LAO,2018,3.77
Laos,LAO,2019,3.77
Latin America and the Caribbean,,2000,37.13
Latin America and the Caribbean,,2001,38.37
Latin America and the Caribbean,,2002,39.38
Latin America and the Caribbean,,2003,39.26
Latin America and the Caribbean,,2004,37.5
Latin America and the Caribbean,,2005,35.77
Latin America and the Caribbean,,2006,35.5
Latin America and the Caribbean,,2007,35.08
Latin America and the Caribbean,,2008,35.13
Latin America and the Caribbean,,2009,34.3
Latin America and the Caribbean,,2010,35.21
Latin America and the Caribbean,,2011,34.97
Latin America and the Caribbean,,2012,34.46
Latin America and the Caribbean,,2013,34.6
Latin America and the Caribbean,,2014,34.21
Latin America and the Caribbean,,2015,34.5
Latin America and the Caribbean,,2016,34.93
Latin America and the Caribbean,,2017,36.12
Latin America and the Caribbean,,2018,35.97
Latin America and the Caribbean,,2019,36.16
Latvia,LVA,2000,16.34
Latvia,LVA,2001,17.46
Latvia,LVA,2002,15.39
Latvia,LVA,2003,16.21
Latvia,LVA,2004,16.68
Latvia,LVA,2005,17.79
Latvia,LVA,2006,17.72
Latvia,LVA,2007,19.23
Latvia,LVA,2008,20.7
Latvia,LVA,2009,21.07
Latvia,LVA,2010,23.26
Latvia,LVA,2011,22.33
Latvia,LVA,2012,24.32
Latvia,LVA,2013,22.67
Latvia,LVA,2014,23.27
Latvia,LVA,2015,23.99
Latvia,LVA,2016,23.11
Latvia,LVA,2017,25.73
Latvia,LVA,2018,22.09
Latvia,LVA,2019,21.91
Least developed countries (LDCs),,2000,16.2
Least developed countries (LDCs),,2001,16.05
Least developed countries (LDCs),,2002,15.89
Least developed countries (LDCs),,2003,14.56
Least developed countries (LDCs),,2004,12.7
Least developed countries (LDCs),,2005,12.1
Least developed countries (LDCs),,2006,12.16
Least developed countries (LDCs),,2007,11.04
Least developed countries (LDCs),,2008,11.89
Least developed countries (LDCs),,2009,11.66
Least developed countries (LDCs),,2010,11.61
Least developed countries (LDCs),,2011,10.5
Least developed countries (LDCs),,2012,9.78
Least developed countries (LDCs),,2013,8.57
Least developed countries (LDCs),,2014,11.32
Least developed countries (LDCs),,2015,11.13
Least developed countries (LDCs),,2016,8.41
Least developed countries (LDCs),,2017,10.21
Least developed countries (LDCs),,2018,11.93
Least developed countries (LDCs),,2019,10.47
Lebanon,LBN,2000,10.83
Lebanon,LBN,2001,10.83
Lebanon,LBN,2002,10.83
Lebanon,LBN,2003,19.95
Lebanon,LBN,2004,19.95
Lebanon,LBN,2005,19.95
Lebanon,LBN,2006,19.95
Lebanon,LBN,2007,19.95
Lebanon,LBN,2008,19.95
Lebanon,LBN,2009,19.95
Lebanon,LBN,2010,19.95
Lebanon,LBN,2011,19.95
Lebanon,LBN,2012,19.95
Lebanon,LBN,2013,19.95
Lebanon,LBN,2014,19.95
Lebanon,LBN,2015,19.95
Lebanon,LBN,2016,19.95
Lebanon,LBN,2017,19.95
Lebanon,LBN,2018,19.95
Lebanon,LBN,2019,19.95
Libya,LBY,2000,16.06
Libya,LBY,2001,16.06
Libya,LBY,2002,16.06
Libya,LBY,2003,16.06
Libya,LBY,2004,16.06
Libya,LBY,2005,16.06
Libya,LBY,2006,16.06
Libya,LBY,2007,16.06
Libya,LBY,2008,16.06
Libya,LBY,2009,16.06
Libya,LBY,2010,16.06
Libya,LBY,2011,16.06
Libya,LBY,2012,16.06
Libya,LBY,2013,16.06
Libya,LBY,2014,16.06
Libya,LBY,2015,16.06
Libya,LBY,2016,16.06
Libya,LBY,2017,16.06
Libya,LBY,2018,16.06
Libya,LBY,2019,16.06
Lithuania,LTU,2000,20.33
Lithuania,LTU,2001,23.25
Lithuania,LTU,2002,22.53
Lithuania,LTU,2003,22.44
Lithuania,LTU,2004,21.8
Lithuania,LTU,2005,20.48
Lithuania,LTU,2006,23.51
Lithuania,LTU,2007,25.41
Lithuania,LTU,2008,31.27
Lithuania,LTU,2009,23.98
Lithuania,LTU,2010,30
Lithuania,LTU,2011,28.82
Lithuania,LTU,2012,24.6
Lithuania,LTU,2013,23.73
Lithuania,LTU,2014,26.32
Lithuania,LTU,2015,29.07
Lithuania,LTU,2016,26.46
Lithuania,LTU,2017,28.95
Lithuania,LTU,2018,30.29
Lithuania,LTU,2019,27.65
Luxembourg,LUX,2000,17.76
Luxembourg,LUX,2001,15.76
Luxembourg,LUX,2002,16.23
Luxembourg,LUX,2003,14.96
Luxembourg,LUX,2004,14.54
Luxembourg,LUX,2005,15.86
Luxembourg,LUX,2006,15.04
Luxembourg,LUX,2007,13.78
Luxembourg,LUX,2008,8.64
Luxembourg,LUX,2009,7.11
Luxembourg,LUX,2010,7.58
Luxembourg,LUX,2011,7.13
Luxembourg,LUX,2012,22.41
Luxembourg,LUX,2013,23.95
Luxembourg,LUX,2014,22.46
Luxembourg,LUX,2015,23.67
Luxembourg,LUX,2016,20.41
Luxembourg,LUX,2017,21.77
Luxembourg,LUX,2018,21.13
Luxembourg,LUX,2019,20.77
Macao,MAC,2000,3.9
Macao,MAC,2001,2.38
Macao,MAC,2002,2.5
Macao,MAC,2003,2.09
Macao,MAC,2004,2.6
Macao,MAC,2005,2.04
Macao,MAC,2006,2.34
Macao,MAC,2007,2.91
Macao,MAC,2008,2.03
Macao,MAC,2009,2.72
Macao,MAC,2010,4.02
Macao,MAC,2011,4.02
Macao,MAC,2012,4.02
Macao,MAC,2013,4.02
Macao,MAC,2014,4.02
Macao,MAC,2015,4.02
Macao,MAC,2016,4.02
Macao,MAC,2017,4.02
Macao,MAC,2018,4.02
Macao,MAC,2019,4.02
Madagascar,MDG,2000,2.87
Madagascar,MDG,2001,3.08
Madagascar,MDG,2002,3.34
Madagascar,MDG,2003,2.92
Madagascar,MDG,2004,2.91
Madagascar,MDG,2005,2.83
Madagascar,MDG,2006,3.56
Madagascar,MDG,2007,3.56
Madagascar,MDG,2008,3.56
Madagascar,MDG,2009,3.56
Madagascar,MDG,2010,3.56
Madagascar,MDG,2011,3.56
Madagascar,MDG,2012,3.56
Madagascar,MDG,2013,3.56
Madagascar,MDG,2014,3.56
Madagascar,MDG,2015,3.56
Madagascar,MDG,2016,3.56
Madagascar,MDG,2017,3.56
Madagascar,MDG,2018,3.56
Madagascar,MDG,2019,3.56
Malawi,MWI,2000,9.44
Malawi,MWI,2001,9.24
Malawi,MWI,2002,8.08
Malawi,MWI,2003,5.42
Malawi,MWI,2004,4.51
Malawi,MWI,2005,6.14
Malawi,MWI,2006,11.16
Malawi,MWI,2007,5.39
Malawi,MWI,2008,11.41
Malawi,MWI,2009,12.51
Malawi,MWI,2010,11.34
Malawi,MWI,2011,11.34
Malawi,MWI,2012,11.34
Malawi,MWI,2013,11.34
Malawi,MWI,2014,11.34
Malawi,MWI,2015,11.34
Malawi,MWI,2016,11.34
Malawi,MWI,2017,11.34
Malawi,MWI,2018,11.34
Malawi,MWI,2019,11.34
Malaysia,MYS,2000,51.15
Malaysia,MYS,2001,51.47
Malaysia,MYS,2002,50.19
Malaysia,MYS,2003,50.89
Malaysia,MYS,2004,50.61
Malaysia,MYS,2005,48.37
Malaysia,MYS,2006,50.16
Malaysia,MYS,2007,47.38
Malaysia,MYS,2008,43.09
Malaysia,MYS,2009,45.39
Malaysia,MYS,2010,42.61
Malaysia,MYS,2011,41.66
Malaysia,MYS,2012,43.05
Malaysia,MYS,2013,42.11
Malaysia,MYS,2014,43.5
Malaysia,MYS,2015,45.13
Malaysia,MYS,2016,44.12
Malaysia,MYS,2017,44.01
Malaysia,MYS,2018,44.01
Malaysia,MYS,2019,44.01
Maldives,MDV,2000,2.63
Maldives,MDV,2001,2.63
Maldives,MDV,2002,2.63
Maldives,MDV,2003,2.63
Maldives,MDV,2004,2.63
Maldives,MDV,2005,2.63
Maldives,MDV,2006,2.63
Maldives,MDV,2007,2.63
Maldives,MDV,2008,2.63
Maldives,MDV,2009,2.63
Maldives,MDV,2010,2.63
Maldives,MDV,2011,2.63
Maldives,MDV,2012,2.63
Maldives,MDV,2013,2.63
Maldives,MDV,2014,2.63
Maldives,MDV,2015,2.63
Maldives,MDV,2016,2.63
Maldives,MDV,2017,2.63
Maldives,MDV,2018,2.63
Maldives,MDV,2019,2.63
Malta,MLT,2000,51.18
Malta,MLT,2001,47.56
Malta,MLT,2002,44.55
Malta,MLT,2003,45.17
Malta,MLT,2004,41.56
Malta,MLT,2005,36.3
Malta,MLT,2006,47.78
Malta,MLT,2007,51.01
Malta,MLT,2008,50.53
Malta,MLT,2009,17.12
Malta,MLT,2010,19.16
Malta,MLT,2011,8.53
Malta,MLT,2012,5.37
Malta,MLT,2013,5.7
Malta,MLT,2014,17.57
Malta,MLT,2015,37.99
Malta,MLT,2016,36.99
Malta,MLT,2017,40.33
Malta,MLT,2018,36.59
Malta,MLT,2019,36.59
Mauritius,MUS,2000,3
Mauritius,MUS,2001,2.64
Mauritius,MUS,2002,2.67
Mauritius,MUS,2003,2.66
Mauritius,MUS,2004,3.4
Mauritius,MUS,2005,3.32
Mauritius,MUS,2006,2.68
Mauritius,MUS,2007,2.98
Mauritius,MUS,2008,3.17
Mauritius,MUS,2009,3.26
Mauritius,MUS,2010,2.67
Mauritius,MUS,2011,4.81
Mauritius,MUS,2012,4.26
Mauritius,MUS,2013,4.64
Mauritius,MUS,2014,4.97
Mauritius,MUS,2015,4.99
Mauritius,MUS,2016,5.24
Mauritius,MUS,2017,4.65
Mauritius,MUS,2018,4.65
Mauritius,MUS,2019,4.65
Melanesia,OWID_MNS,2000,10.19
Melanesia,OWID_MNS,2001,8.18
Melanesia,OWID_MNS,2002,8.88
Melanesia,OWID_MNS,2003,8.86
Melanesia,OWID_MNS,2004,8.72
Melanesia,OWID_MNS,2005,9.52
Melanesia,OWID_MNS,2006,9.16
Melanesia,OWID_MNS,2007,9.01
Melanesia,OWID_MNS,2008,9.13
Melanesia,OWID_MNS,2009,9.93
Melanesia,OWID_MNS,2010,10.11
Melanesia,OWID_MNS,2011,10.15
Melanesia,OWID_MNS,2012,10.36
Melanesia,OWID_MNS,2013,9.99
Melanesia,OWID_MNS,2014,9.81
Melanesia,OWID_MNS,2015,9.5
Melanesia,OWID_MNS,2016,9.45
Melanesia,OWID_MNS,2017,9.87
Melanesia,OWID_MNS,2018,9.79
Melanesia,OWID_MNS,2019,9.94
Mexico,MEX,2000,42.61
Mexico,MEX,2001,43.16
Mexico,MEX,2002,42.65
Mexico,MEX,2003,43.53
Mexico,MEX,2004,39.54
Mexico,MEX,2005,39.84
Mexico,MEX,2006,39.73
Mexico,MEX,2007,38.54
Mexico,MEX,2008,37.59
Mexico,MEX,2009,35.68
Mexico,MEX,2010,36.89
Mexico,MEX,2011,38.65
Mexico,MEX,2012,40.15
Mexico,MEX,2013,39.5
Mexico,MEX,2014,40.39
Mexico,MEX,2015,39.69
Mexico,MEX,2016,43.24
Mexico,MEX,2017,44.44
Mexico,MEX,2018,44.95
Mexico,MEX,2019,44.95
Middle Africa,,2000,3.53
Middle Africa,,2001,4.68
Middle Africa,,2002,9.44
Middle Africa,,2003,9.18
Middle Africa,,2004,8.84
Middle Africa,,2005,8.53
Middle Africa,,2006,6.09
Middle Africa,,2007,5.94
Middle Africa,,2008,5.94
Middle Africa,,2009,5.89
Middle Africa,,2010,5.82
Middle Africa,,2011,5.79
Middle Africa,,2012,5.74
Middle Africa,,2013,5.59
Middle Africa,,2014,5.58
Middle Africa,,2015,5.19
Middle Africa,,2016,5.03
Middle Africa,,2017,4.96
Middle Africa,,2018,5.27
Middle Africa,,2019,5.18
Moldova,MDA,2000,6.87
Moldova,MDA,2001,6.8
Moldova,MDA,2002,7.21
Moldova,MDA,2003,7.28
Moldova,MDA,2004,6.9
Moldova,MDA,2005,6.89
Moldova,MDA,2006,7.73
Moldova,MDA,2007,7.82
Moldova,MDA,2008,9.84
Moldova,MDA,2009,8.68
Moldova,MDA,2010,8.91
Moldova,MDA,2011,8.96
Moldova,MDA,2012,12.28
Moldova,MDA,2013,14.47
Moldova,MDA,2014,18.76
Moldova,MDA,2015,16.33
Moldova,MDA,2016,19.46
Moldova,MDA,2017,17.73
Moldova,MDA,2018,17.78
Moldova,MDA,2019,17.76
Mongolia,MNG,2000,2.53
Mongolia,MNG,2001,2.88
Mongolia,MNG,2002,5.14
Mongolia,MNG,2003,5.9
Mongolia,MNG,2004,1.63
Mongolia,MNG,2005,5.24
Mongolia,MNG,2006,5.76
Mongolia,MNG,2007,4.21
Mongolia,MNG,2008,5.31
Mongolia,MNG,2009,4.15
Mongolia,MNG,2010,2.05
Mongolia,MNG,2011,6.15
Mongolia,MNG,2012,4.87
Mongolia,MNG,2013,4.97
Mongolia,MNG,2014,6.57
Mongolia,MNG,2015,7.66
Mongolia,MNG,2016,5.37
Mongolia,MNG,2017,4.7
Mongolia,MNG,2018,2.96
Mongolia,MNG,2019,2.98
Montenegro,MNE,2000,16.26
Montenegro,MNE,2001,16.26
Montenegro,MNE,2002,16.26
Montenegro,MNE,2003,16.26
Montenegro,MNE,2004,16.26
Montenegro,MNE,2005,16.26
Montenegro,MNE,2006,16.26
Montenegro,MNE,2007,16.26
Montenegro,MNE,2008,16.26
Montenegro,MNE,2009,16.26
Montenegro,MNE,2010,16.26
Montenegro,MNE,2011,13.99
Montenegro,MNE,2012,18.85
Montenegro,MNE,2013,15.88
Montenegro,MNE,2014,16.06
Montenegro,MNE,2015,14.86
Montenegro,MNE,2016,14.86
Montenegro,MNE,2017,14.86
Montenegro,MNE,2018,14.86
Montenegro,MNE,2019,14.86
Morocco,MAR,2000,19.83
Morocco,MAR,2001,21.29
Morocco,MAR,2002,21.64
Morocco,MAR,2003,23.75
Morocco,MAR,2004,23.24
Morocco,MAR,2005,22.43
Morocco,MAR,2006,22.05
Morocco,MAR,2007,26.75
Morocco,MAR,2008,29.07
Morocco,MAR,2009,21.97
Morocco,MAR,2010,28.07
Morocco,MAR,2011,28.05
Morocco,MAR,2012,6.74
Morocco,MAR,2013,7.04
Morocco,MAR,2014,7.87
Morocco,MAR,2015,33.41
Morocco,MAR,2016,35.65
Morocco,MAR,2017,10.57
Morocco,MAR,2018,24.06
Morocco,MAR,2019,24.06
Mozambique,MOZ,2000,10.89
Mozambique,MOZ,2001,10.89
Mozambique,MOZ,2002,10.89
Mozambique,MOZ,2003,10.89
Mozambique,MOZ,2004,10.89
Mozambique,MOZ,2005,10.89
Mozambique,MOZ,2006,10.89
Mozambique,MOZ,2007,10.89
Mozambique,MOZ,2008,10.89
Mozambique,MOZ,2009,10.89
Mozambique,MOZ,2010,10.89
Mozambique,MOZ,2011,10.89
Mozambique,MOZ,2012,10.89
Mozambique,MOZ,2013,10.89
Mozambique,MOZ,2014,10.89
Mozambique,MOZ,2015,10.89
Mozambique,MOZ,2016,10.89
Mozambique,MOZ,2017,10.89
Mozambique,MOZ,2018,10.89
Mozambique,MOZ,2019,10.89
Myanmar,MMR,2000,11.1
Myanmar,MMR,2001,11.1
Myanmar,MMR,2002,11.1
Myanmar,MMR,2003,11.1
Myanmar,MMR,2004,11.1
Myanmar,MMR,2005,11.1
Myanmar,MMR,2006,11.1
Myanmar,MMR,2007,11.1
Myanmar,MMR,2008,11.1
Myanmar,MMR,2009,11.1
Myanmar,MMR,2010,27.6
Myanmar,MMR,2011,15.61
Myanmar,MMR,2012,11.66
Myanmar,MMR,2013,7.18
Myanmar,MMR,2014,24.23
Myanmar,MMR,2015,23.62
Myanmar,MMR,2016,10.27
Myanmar,MMR,2017,21.78
Myanmar,MMR,2018,24.94
Myanmar,MMR,2019,23.66
Namibia,NAM,2000,7.37
Namibia,NAM,2001,6.7
Namibia,NAM,2002,6.7
Namibia,NAM,2003,6.7
Namibia,NAM,2004,6.7
Namibia,NAM,2005,6.7
Namibia,NAM,2006,6.7
Namibia,NAM,2007,6.7
Namibia,NAM,2008,7.87
Namibia,NAM,2009,7.08
Namibia,NAM,2010,7.45
Namibia,NAM,2011,7.45
Namibia,NAM,2012,7.88
Namibia,NAM,2013,7.29
Namibia,NAM,2014,7.35
Namibia,NAM,2015,7.35
Namibia,NAM,2016,7.35
Namibia,NAM,2017,7.35
Namibia,NAM,2018,7.35
Namibia,NAM,2019,7.35
Nepal,NPL,2000,12.1
Nepal,NPL,2001,12.12
Nepal,NPL,2002,11.86
Nepal,NPL,2003,11.86
Nepal,NPL,2004,9.19
Nepal,NPL,2005,9.19
Nepal,NPL,2006,9.13
Nepal,NPL,2007,9.19
Nepal,NPL,2008,1.9
Nepal,NPL,2009,1.9
Nepal,NPL,2010,8.23
Nepal,NPL,2011,8.38
Nepal,NPL,2012,8.6
Nepal,NPL,2013,8.6
Nepal,NPL,2014,8.6
Nepal,NPL,2015,8.6
Nepal,NPL,2016,8.6
Nepal,NPL,2017,8.6
Nepal,NPL,2018,8.55
Nepal,NPL,2019,8.6
Netherlands,NLD,2000,40.92
Netherlands,NLD,2001,38.59
Netherlands,NLD,2002,40.4
Netherlands,NLD,2003,40.58
Netherlands,NLD,2004,43.33
Netherlands,NLD,2005,45.34
Netherlands,NLD,2006,42.68
Netherlands,NLD,2007,42.68
Netherlands,NLD,2008,43.84
Netherlands,NLD,2009,45.16
Netherlands,NLD,2010,49.83
Netherlands,NLD,2011,50.31
Netherlands,NLD,2012,50.4
Netherlands,NLD,2013,49.45
Netherlands,NLD,2014,50.33
Netherlands,NLD,2015,50.44
Netherlands,NLD,2016,49.61
Netherlands,NLD,2017,51.21
Netherlands,NLD,2018,52.46
Netherlands,NLD,2019,51.49
New Zealand,NZL,2000,12.45
New Zealand,NZL,2001,12.93
New Zealand,NZL,2002,15.01
New Zealand,NZL,2003,17.98
New Zealand,NZL,2004,18.12
New Zealand,NZL,2005,16.86
New Zealand,NZL,2006,16.54
New Zealand,NZL,2007,16.62
New Zealand,NZL,2008,17.77
New Zealand,NZL,2009,16.5
New Zealand,NZL,2010,17.61
New Zealand,NZL,2011,18.06
New Zealand,NZL,2012,17.25
New Zealand,NZL,2013,19.39
New Zealand,NZL,2014,20.25
New Zealand,NZL,2015,19.07
New Zealand,NZL,2016,19.72
New Zealand,NZL,2017,22.18
New Zealand,NZL,2018,21.27
New Zealand,NZL,2019,21.27
Niger,NER,2000,50.53
Niger,NER,2001,44.92
Niger,NER,2002,24.77
Niger,NER,2003,25.95
Niger,NER,2004,24.77
Niger,NER,2005,24.77
Niger,NER,2006,24.77
Niger,NER,2007,24.77
Niger,NER,2008,24.77
Niger,NER,2009,18.25
Niger,NER,2010,18.25
Niger,NER,2011,18.25
Niger,NER,2012,18.25
Niger,NER,2013,18.25
Niger,NER,2014,18.25
Niger,NER,2015,18.25
Niger,NER,2016,15.3
Niger,NER,2017,15.3
Niger,NER,2018,15.29
Niger,NER,2019,17.71
Nigeria,NGA,2000,33.44
Nigeria,NGA,2001,33.44
Nigeria,NGA,2002,33.44
Nigeria,NGA,2003,33.44
Nigeria,NGA,2004,33.44
Nigeria,NGA,2005,33.44
Nigeria,NGA,2006,33.44
Nigeria,NGA,2007,33.44
Nigeria,NGA,2008,33.44
Nigeria,NGA,2009,33.44
Nigeria,NGA,2010,33.44
